trackId¬artistName¬masterArtistId¬masterArtistName¬masterArtistUrl¬releaseId¬releaseTitle¬releaseVersion¬releaseUrl¬trackTitle¬trackVersionName¬trackDuration¬releaseTrackOrder¬trackISRC¬trackParentalAdvisory¬trackTypeId¬componentNumber¬releaseTypeId¬trackFormatIds¬trackPrice¬trackRRP¬trackArtistName¬modifiedDate¬streamReleaseDate¬releaseReleaseDate¬trackMasterArtistId¬trackMasterArtistName¬trackMasterArtistUrl¬releaseLicensorId¬releaseLabelId¬releaseLabelName¬shopId¬id¬timestamp¬rank
311¬The Roots¬46¬The Roots¬the-roots¬30¬Phrenology¬UK edition with 1 bonus track¬phrenology-uk-edition-with-1-bonus-track¬!!!!!!!¬Album Version (Explicit)¬25¬3¬USMC10201415¬NULL¬1¬1¬1¬33|49¬99¬99¬The Roots¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2002-12-05T00:00:00Z¬46¬The Roots¬the-roots¬1¬40¬(P) 2002 MCA Records Inc., a division of UMG Recordings, Inc¬34¬t_34_30_311¬2012-03-29T13:44:09Z¬1
73865¬The Flaming Lips¬4021¬The Flaming Lips¬the-flaming-lips¬7311¬She Don't Use Jelly¬NULL¬she-dont-use-jelly-1¬******* ("Plastic Jesus") (Porch Version)¬NULL¬102¬4¬USWB10300362¬NULL¬1¬1¬2¬33|49¬99¬99¬The Flaming Lips¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬1993-09-28T00:00:00Z¬4021¬The Flaming Lips¬the-flaming-lips¬1¬273¬1993 Warner Bros. Records Inc.¬34¬t_34_7311_73865¬2012-03-29T13:44:09Z¬1
85722¬Method Man / Redman / Missy "Misdemeanor" Elliott¬837261¬Method Man / Redman / Missy "Misdemeanor" Elliott¬method-man-redman-missy-misdemeanor-elliott¬8503¬Blackout!¬Explicit Version¬black-out-explicit-version¬The ?¬Album Version (Explicit)¬290¬13¬USDJ29905108¬NULL¬1¬1¬1¬33|49¬99¬99¬Method Man / Redman / Missy "Misdemeanor" Elliott¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬1999-10-25T00:00:00Z¬837261¬Method Man / Redman / Missy "Misdemeanor" Elliott¬method-man-redman-missy-misdemeanor-elliott¬1¬47744¬(P) 1999 The Island Def Jam Music Group¬34¬t_34_8503_85722¬2012-03-29T13:44:09Z¬1
127462¬Nena¬9020¬Nena¬nena¬12429¬Nena Live Nena¬NULL¬nena-live-nena-1¬? (Fragezeichen) - Live¬NULL¬251¬11¬DEH590400033¬NULL¬1¬1¬1¬33|49¬99¬99¬Nena¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2004-03-01T00:00:00Z¬9020¬Nena¬nena¬1¬428¬2004 Warner Strategic Marketing /  WARNER MUSIC Group Germany Holding GmbH. A Time Warner Company.¬34¬t_34_12429_127462¬2012-03-29T13:44:09Z¬1
140800¬Los Limones¬9449¬Los Limones¬los-limones¬13507¬Donde Acaba El Mar¬NULL¬donde-acaba-el-mar-(1)¬¿...?¬NULL¬47¬13¬ES5019071012¬NULL¬1¬1¬1¬33|49¬99¬99¬Los Limones¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2005-03-29T00:00:00Z¬9449¬Los Limones¬los-limones¬1¬556¬1.990 DRO EAST WEST S.A.¬34¬t_34_13507_140800¬2012-03-29T13:44:09Z¬1
151327¬Erykah Badu¬103¬Erykah Badu¬erykah-badu¬14565¬Mama's Gun¬UK EDITION WITH BONUS TRACK¬mamas-gun-uk-edition-with-bonus-track¬... & On¬NULL¬214¬4¬USMO10001026¬NULL¬1¬1¬1¬33|49¬99¬99¬Erykah Badu¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2001-03-11T00:00:00Z¬103¬Erykah Badu¬erykah-badu¬1¬40¬(P) 2000 Motown Record Company L.P.¬34¬t_34_14565_151327¬2012-03-29T13:44:09Z¬1
151814¬Erykah Badu¬103¬Erykah Badu¬erykah-badu¬14594¬Mama's Gun¬NULL¬mamas-gun¬...& On¬Album Version¬214¬4¬USMO10001026¬NULL¬1¬1¬1¬33|49¬99¬99¬Erykah Badu¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2000-11-27T00:00:00Z¬103¬Erykah Badu¬erykah-badu¬1¬47744¬(P) 2000 Universal Motown Records, a division of UMG Recordings, Inc.¬34¬t_34_14594_151814¬2012-03-29T13:44:09Z¬1
244389¬The Roots¬46¬The Roots¬the-roots¬23372¬Phrenology¬International Version¬phrenology-international-version-with-bonus-dvd¬!!!!!!!¬Album Version (Explicit)¬24¬3¬USMC10201415¬NULL¬1¬1¬1¬33|49¬99¬99¬The Roots¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2003-01-29T00:00:00Z¬46¬The Roots¬the-roots¬1¬41180¬(P) 2002 Geffen Records¬34¬t_34_23372_244389¬2012-03-29T13:44:09Z¬1
418349¬Blind I O¬27999¬Blind I O¬blind-i-o¬39052¬...(To Be Continued)¬NULL¬to-be-continued¬.....(To Be Continued)¬NULL¬340¬1¬GBKRX0600063¬NULL¬1¬1¬2¬33|49¬99¬99¬Blind I O¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2006-08-07T00:00:00Z¬27999¬Blind I O¬blind-i-o¬1¬3309¬(P) 2006 Room 5 Recordings¬34¬t_34_39052_418349¬2012-03-29T13:44:09Z¬1
443697¬Immune¬23087¬Immune¬immune¬41749¬1/f¬NULL¬1-f¬(''')¬NULL¬400¬9¬GBGCA0600021¬NULL¬1¬1¬1¬33|49¬99¬99¬Immune¬2012-03-29T13:44:09Z¬2012-03-29T13:44:09Z¬2006-08-21T00:00:00Z¬23087¬Immune¬immune¬1¬3309¬(P) 2006 Immune¬34¬t_34_41749_443697¬2012-03-29T13:44:09Z¬1
